,Unknown,St. Croix,St. John,St. Thomas
2021-05-09,,1379,222,1609
2021-05-10,,1379,224,1630
2021-05-11,,1379,224,1630
2021-05-12,,1380,224,1652
2021-05-13,,1380,228,1653
2021-05-14,,1380,228,1659
2021-05-15,,1380,228,1659
2021-05-16,,1380,228,1659
2021-05-17,,1380,228,1659
2021-05-18,,1381,228,1679
2021-05-19,,1381,228,1679
2021-05-20,,1382,228,1698
2021-05-21,,1382,228,1698
2021-05-22,,1382,228,1698
2021-05-23,,1382,228,1698
2021-05-24,,1392,234,1757
2021-05-25,,1392,234,1757
2021-05-26,,1392,234,1773
2021-05-27,,1392,234,1773
2021-05-28,,1395,238,1809
2021-05-29,,1395,238,1809
2021-05-30,,1395,238,1809
2021-05-31,,1395,238,1809
2021-06-01,,1397,239,1829
2021-06-02,,1398,242,1872
2021-06-03,,1398,242,1872
2021-06-04,,1398,242,1872
2021-06-05,,1398,242,1872
2021-06-06,,1398,242,1872
2021-06-07,,1401,246,1913
2021-06-08,,1404,247,1957
2021-06-09,,1409,247,1996
2021-06-10,,1409,247,1996
2021-06-11,,1418,247,2025
2021-06-12,,1418,247,2025
2021-06-13,,1418,247,2025
2021-06-14,,1420,248,2034
2021-06-15,0,1424,248,2045
2021-06-16,,1427,249,2053
2021-06-17,,1431,249,2067
2021-06-18,,1432,250,2070
2021-06-19,,1432,250,2070
2021-06-20,,1432,250,2070
2021-06-21,,1437,250,2081
2021-06-22,,1439,250,2085
2021-06-23,,1439,250,2085
2021-06-24,,1439,250,2085
2021-06-25,,1464,251,2120
2021-06-26,,1464,251,2120
2021-06-27,,1464,251,2120
2021-06-28,,1464,251,2124
2021-06-29,,1469,251,2138
2021-06-30,,1469,251,2138
2021-07-01,,1491,252,2152
2021-07-02,,1491,252,2152
2021-07-03,,1491,252,2152
2021-07-04,,1491,252,2152
2021-07-05,,1491,252,2152
2021-07-06,,1511,252,2179
2021-07-07,,1517,252,2201
2021-07-08,,1517,252,2201
2021-07-09,,1536,252,2217
2021-07-10,,1536,252,2217
2021-07-11,,1536,252,2217
2021-07-12,,1553,252,2228
2021-07-13,,1556,252,2235
2021-07-14,,1585,252,2267
2021-07-15,,1593,256,2270
2021-07-16,,1593,256,2270
2021-07-17,,1593,256,2270
2021-07-18,,1593,256,2270
2021-07-19,,1619,258,2309
2021-07-20,,1625,258,2332
2021-07-21,,1625,258,2332
2021-07-22,,1644,262,2395
2021-07-23,,1644,262,2395
2021-07-24,,1644,262,2395
2021-07-25,,1644,262,2395
2021-07-26,,1668,261,2446
2021-07-27,,1668,261,2446
2021-07-28,,1668,261,2446
2021-07-29,,1715,261,2521
2021-07-30,,1721,263,2530
2021-07-31,,1721,263,2530
2021-08-01,,1721,263,2530
2021-08-02,,1768,264,2597
2021-08-03,0,1783,265,2615
2021-08-04,0,1793,265,2633
2021-08-05,,1834,275,2745
2021-08-06,,1849,277,2781
2021-08-07,,1849,277,2781
2021-08-08,,1849,277,2781
2021-08-09,,1884,279,2797
2021-08-10,0,1915,281,2870
2021-08-11,0,1915,281,2870
2021-08-12,,1949,287,2933
2021-08-13,,1969,288,2985
2021-08-14,,1969,288,2985
2021-08-15,,1969,288,2985
2021-08-16,,1992,288,3015
2021-08-17,,1992,288,3015
2021-08-18,,2028,290,3095
2021-08-19,0,2037,290,3105
